"tconst","startYear","runtimeMinutes","parentTconst","seasonNumber","episodeNumber","averageRating","numVotes"
"tt0042032",1949,7,"tt15234298",1,6,7.5,536
"tt0505147",1949,NA,"tt0040021",1,16,8.5,25
"tt0569044",1949,NA,"tt0041021",1,12,7.9,15
"tt0635338",1949,23,"tt0041038",1,16,7.5,83
"tt0635367",1949,30,"tt0041038",1,1,7.7,211
"tt0635371",1949,23,"tt0041038",1,13,7.4,62
"tt0635387",1949,23,"tt0041038",1,10,7.6,66
"tt0635411",1949,23,"tt0041038",1,15,7.5,74
"tt0635424",1949,25,"tt0041038",1,7,7.8,81
"tt0635431",1949,23,"tt0041038",1,12,7.7,63
"tt0635434",1949,30,"tt0041038",1,5,7.7,88
"tt0635444",1949,26,"tt0041038",1,11,8.1,61
"tt0635478",1949,26,"tt0041038",1,4,7.6,106
"tt0635480",1949,23,"tt0041038",1,2,7.8,143
"tt0635481",1949,23,"tt0041038",1,3,7.5,124
"tt0635486",1949,30,"tt0041038",1,14,7.8,76
"tt0635495",1949,26,"tt0041038",1,8,7.6,72
"tt0635535",1949,25,"tt0041038",1,6,7.5,81
"tt0674235",1948,NA,"tt0040049",1,12,7.2,8
"tt0712271",1949,59,"tt0040051",1,15,5.6,43
"tt0712284",1949,60,"tt0040051",2,13,5.4,12
"tt0712298",1949,60,"tt0040051",2,14,6.2,42
"tt0712304",1949,60,"tt0040051",1,8,7.6,12
"tt0712306",1949,60,"tt0040051",1,19,5.9,39
"tt0712334",1949,60,"tt0040051",2,15,7.5,10
"tt0712365",1949,60,"tt0040051",2,11,6.9,31
"tt0712469",1949,60,"tt0040051",1,13,7.2,13
"tt0712518",1948,60,"tt0040051",1,3,4.6,30
"tt0712560",1949,59,"tt0040051",2,10,6.6,85
"tt0712569",1948,60,"tt0040051",1,1,5.2,11
"tt0712570",1949,60,"tt0040051",2,6,6.4,22
"tt0713879",1949,30,"tt0041061",1,7,5.4,66
"tt0713893",1949,30,"tt0041061",2,9,5,30
"tt0713902",1949,30,"tt0041061",2,2,5.7,23
"tt0713911",1949,30,"tt0041061",1,8,6.7,37
"tt0713923",1949,30,"tt0041061",2,5,6.4,32
"tt0713940",1949,30,"tt0041061",1,14,6.9,35
"tt0713992",1949,30,"tt0041061",1,9,7.6,25
"tt0714008",1949,30,"tt0041061",1,2,7.5,35
"tt0714009",1949,30,"tt0041061",2,10,5.5,27
"tt0714019",1949,30,"tt0041061",2,17,5.9,23
"tt0714020",1949,24,"tt0041061",2,6,7.2,69
"tt0714021",1949,30,"tt0041061",2,4,6.4,34
"tt0714032",1949,30,"tt0041061",1,12,6.8,31
"tt0714071",1949,30,"tt0041061",2,13,7,27
"tt0714080",1949,30,"tt0041061",2,8,6.8,20
"tt0714108",1949,30,"tt0041061",2,12,6.8,24
"tt0714116",1949,30,"tt0041061",1,13,6.2,28
"tt0714121",1949,26,"tt0041061",1,0,7.1,41
"tt0752780",1949,27,"tt0041076",1,10,6.6,41
"tt0752788",1949,NA,"tt0041076",1,4,6.8,8
"tt0771463",1949,NA,"tt0041036",1,2,7,9
"tt0771464",1949,NA,"tt0041036",1,12,5.8,7
"tt0771465",1949,30,"tt0041036",1,3,6.3,7
"tt0771466",1949,NA,"tt0041036",1,4,5.6,9
"tt0771467",1949,NA,"tt0041036",1,1,6.4,12
"tt1025824",1949,NA,"tt0041036",1,5,6.5,7
"tt1044471",1946,25,"tt0041037",1,1,6.3,9
"tt11143216",1934,19,"tt11137618",1,1,6.6,17
"tt11143224",1934,NA,"tt11137618",1,2,8.3,19
"tt11143246",1934,NA,"tt11137618",1,3,8.4,21
"tt11143252",1934,18,"tt11137618",1,4,7.4,14
"tt11143262",1935,NA,"tt11137618",1,5,6.8,6
"tt11143266",1935,NA,"tt11137618",1,6,7.6,7
"tt11143268",1935,NA,"tt11137618",1,7,8.1,7
"tt11143272",1935,19,"tt11137618",1,8,7.8,5
"tt11143276",1935,18,"tt11137618",1,9,7.2,8
"tt11143288",1935,17,"tt11137618",1,10,8.2,10
"tt11143292",1935,NA,"tt11137618",1,11,7.7,7
"tt11143306",1936,NA,"tt11137618",1,12,8,8
"tt11143310",1936,16,"tt11137618",1,13,7.4,9
"tt11143312",1936,18,"tt11137618",1,14,7.1,9
"tt11143316",1936,NA,"tt11137618",1,15,9,24
"tt11143318",1936,NA,"tt11137618",1,16,7.3,8
"tt11143320",1936,16,"tt11137618",1,17,9,8
"tt11143322",1936,NA,"tt11137618",1,18,7,7
"tt11143324",1936,17,"tt11137618",1,19,7.4,5
"tt1216155",1949,NA,"tt0040041",1,42,7.5,10
"tt12690150",1943,NA,"tt12644110",1,4,8.1,7
"tt12690156",1943,NA,"tt12644110",1,7,6.9,8
"tt12690160",1944,NA,"tt12644110",1,8,6.5,6
"tt12690194",1946,NA,"tt12644110",1,17,6,8
"tt12690204",1947,NA,"tt12644110",1,21,6.8,5
"tt12690210",1947,NA,"tt12644110",1,24,6,7
"tt12690212",1947,NA,"tt12644110",1,25,6.3,6
"tt12690232",1949,NA,"tt12644110",1,31,7.6,8
"tt14142440",1947,NA,"tt11137618",1,100,7.8,6
"tt14142442",1947,16,"tt11137618",1,101,8.6,5
"tt1426881",1949,NA,"tt0041036",1,6,6,7
"tt1426886",1949,NA,"tt0041036",1,9,7.1,9
"tt1426888",1949,NA,"tt0041036",1,10,7,7
"tt1426890",1949,NA,"tt0041036",1,7,6.4,8
"tt1426893",1949,NA,"tt0041036",1,8,6.6,9
"tt1426896",1949,NA,"tt0041036",1,13,6.6,8
"tt1427585",1949,NA,"tt0041036",1,11,7.2,7
"tt3379628",1948,16,"tt3209172",1,7,8,8
"tt3379630",1948,16,"tt3209172",1,2,7.3,14
"tt3379642",1948,16,"tt3209172",1,6,8.2,8
"tt3379648",1948,17,"tt3209172",1,12,7.8,8
"tt3379650",1948,15,"tt3209172",1,8,7.7,8
"tt3379652",1948,18,"tt3209172",1,4,7.4,10
"tt3379656",1948,16,"tt3209172",1,13,7.8,8
"tt3379658",1948,16,"tt3209172",1,9,7.7,8
"tt3379662",1948,17,"tt3209172",1,14,7,8
"tt3379664",1948,21,"tt3209172",1,1,7.6,18
"tt3379666",1948,18,"tt3209172",1,3,7.6,9
"tt3379668",1948,18,"tt3209172",1,11,7.8,8
"tt3379672",1948,18,"tt3209172",1,10,8,8
"tt3379686",1948,15,"tt3209172",1,5,8,8
"tt3379688",1948,18,"tt3209172",1,15,7.8,7
"tt7321260",1949,NA,"tt0060019",1,1,7.8,30
