startYear,titleType,Freq
1933,tvSpecial,0
1934,tvSpecial,0
1935,tvSpecial,0
1936,tvSpecial,5
1937,tvSpecial,1
1938,tvSpecial,3
1939,tvSpecial,5
1940,tvSpecial,1
1941,tvSpecial,0
1942,tvSpecial,1
1943,tvSpecial,0
1944,tvSpecial,0
1945,tvSpecial,1
1946,tvSpecial,9
1947,tvSpecial,8
1948,tvSpecial,11
1949,tvSpecial,13
1950,tvSpecial,12
1920,video,0
1921,video,0
1922,video,0
1923,video,0
1924,video,0
1925,video,0
1926,video,0
1927,video,1
1928,video,1
1929,video,0
1930,video,1
1931,video,0
1932,video,0
1933,video,0
1934,video,0
1935,video,2
1936,video,0
1937,video,0
1938,video,0
1939,video,0
1940,video,0
1941,video,1
1942,video,0
1943,video,1
1944,video,1
1945,video,1
1946,video,0
1947,video,2
1948,video,0
1949,video,1
1950,video,1
1920,videoGame,0
1921,videoGame,0
1922,videoGame,0
1923,videoGame,0
1924,videoGame,0
1925,videoGame,0
1926,videoGame,0
1927,videoGame,0
1928,videoGame,0
1929,videoGame,0
1930,videoGame,0
1931,videoGame,0
1932,videoGame,0
1933,videoGame,0
1934,videoGame,0
1935,videoGame,0
1936,videoGame,0
1937,videoGame,0
1938,videoGame,0
1939,videoGame,0
1940,videoGame,0
1941,videoGame,0
1942,videoGame,0
1943,videoGame,0
1944,videoGame,0
1945,videoGame,0
1946,videoGame,0
1947,videoGame,0
1948,videoGame,1
1949,videoGame,0
1950,videoGame,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
